key,en,pl
wanst_encounter_tooth_1_1,A tooth is basically #1.50 a bone with a lisp.,Ząb to w zasadzie #1.50 kość z seplenieniem.
wanst_encounter_tooth_2_1,Teeth are the poor man's money.,Zęby to pieniądze biedaka.
wanst_encounter_tooth_3_1,A wonderful pearl.,Cudowna perła.
wanst_encounter_tooth_4_1,Someone drop their smile?,Komuś wypadł uśmiech?
wanst_encounter_goldtooth_1_1,Gold makes teeth more robust. #2.50 Nice.,Złoto wzmacnia zęby. #2.50 Miło.
wanst_encounter_goldtooth_2_1,This tooth is a bit yellow.,Ten ząb jest trochę żółty.
wanst_encounter_goldtooth_3_1,Someone did not brush.,Ktoś nie szczotkował.
wanst_encounter_diamondtooth_1_1,That diamond tooth is basically indestructible.,Ten diamentowy ząb jest w zasadzie niezniszczalny.
wanst_encounter_diamondtooth_2_1,"Better not lose that diamond tooth. #2.00 I'll keep it safe in my tooth jar. #4.00 My mouth, that is...",Lepiej nie zgubić tego diamentowego zęba. #2.00 Przechowam go bezpiecznie w moim słoiku na zęby. #4.00 Czyli w ustach...
wanst_attack_tooth_1_1,This punch's got bite!,Ten cios ma zgryz!
wanst_attack_tooth_2_1,Jaw breaker!,Łamacz szczęk!
wanst_equip_tooth_1_1,"This is where you belong, #1.50 my dental friend.","Tu jest twoje miejsce, #1.50 mój dentystyczny przyjacielu."
wanst_equip_tooth_2_1,Gotta put your teeth #0.90 where your mouth is.,"Trzeba wkładać zęby tam, #0.90 gdzie są usta."
wanst_equip_tooth_3_1,I feel strength flowing through my jaw!,Czuję siłę płynącą przez moją szczękę!
wanst_equip_tooth_4_1,Let's bite some things!,Pogryźmy trochę rzeczy!
wanst_equip_tooth_5_1,I feel healthier and more #1.50 gorgeous at the same time!,Czuję się zdrowszy i bardziej #1.50 olśniewający jednocześnie!
wanst_drop_tooth_1_1,"I keep losing teeth, damn. #2.00 Am I eating healthy?","Ciągle gubię zęby, cholera. #2.00 Czy ja zdrowo jem?"
wanst_drop_tooth_2_1,That one felt loose anyway. #2.00 Am I getting old?,Ten i tak był luźny. #2.00 Czy ja się starzeję?
wanst_drop_tooth_3_1,Just can't rely on teeth these days.,W dzisiejszych czasach nie można polegać na zębach.
wanst_drop_tooth_4_1,Better no teeth than bad teeth!,Lepiej bez zębów niż ze złymi zębami!
wanst_pickup_tooth_1_1,Now what would I do with a tooth?,I co ja miałbym zrobić z zębem?
wanst_pickup_tooth_2_1,Come here. #0.75 I treat every tooth fairly.,Chodź tutaj. #0.75 Każdy ząb traktuję uczciwie.
wanst_pickup_tooth_3_1,I have no problem putting that in my mouth. #2.40 Not gross at all.,Nie mam problemu z włożeniem tego do ust. #2.40 Wcale nie obrzydliwe.
wanst_pickup_tooth_4_1,Putting a random tooth in your mouth? #2.00 Sounds healthy!,Włożyć losowy ząb do ust? #2.00 Brzmi zdrowo!
wanst_encounter_brokenpipe_1_1,Someone should fix these pipes.,Ktoś powinien naprawić te rury.
row93,The plumber must've left early...,Hydraulik musiał wyjść wcześniej...
wanst_encounter_brokenpipe_2_1,This pipe could use a gasket.,Tej rurze przydałaby się uszczelka.
wanst_fixpipe_1_1,"Alright, fits like a glove!","Dobra, pasuje jak ulał!"
wanst_fixpipe_2_1,The pipe is ripe!,Rura jest dojrzała!
wanst_fixpipe_3_1,Plumbing is a skill that lasts a lifetime.,Hydraulika to umiejętność na całe życie.
wanst_encounter_pipeactive_1_1,Let's flush some goods down the drain.,Spuśćmy trochę towaru odpływem.
wanst_encounter_pipeactive_2_1,"The postal business went down the drain, #2.00 I see...","Poczta zeszła na psy... i do odpływu, #2.00 jak widzę..."
wanst_putiteminpipe_1_1,Let's get you out of here!,Wydostańmy cię stąd!
wanst_putiteminpipe_2_1,Down you go!,W dół z tobą!
wanst_putiteminpipe_3_1,See you downstairs!,Do zobaczenia na dole!
wanst_putiteminpipe_4_1,"Godspeed, thing!","Szerokiej drogi, rzeczy!"
wanst_putiteminpipe_5_1,Going postal!,Pocztowy odlot!
wanst_encounter_gemshield_1_1,This shield looks precious. #2.00 It better not get any scratches.,"Ta tarcza wygląda cennie. #2.00 Lepiej, żeby się nie porysowała."
wanst_encounter_gemshield_2_1,"Why would anyone with such a huge gemstone #2.50 turn it into a shield? #4.00 Hire a bodyguard, moneybags.","Dlaczego ktoś z tak wielkim klejnotem #2.50 przerobiłby go na tarczę? #4.00 Wynajmij ochroniarza, bogaczu."
wanst_pickup_gemshield_1_1,Protected by incredible wealth!,Chroniony przez niewiarygodne bogactwo!
wanst_pickup_gemshield_2_1,Pump up the gem.,Podkręć klejnot.
wanst_encounter_romanshield_1_1,Didn't expect any Romans #1.70 in this grim place...,Nie spodziewałem się żadnych Rzymian #1.70 w tym ponurym miejscu...
wanst_pickup_romanshield_1_1,The only thing that can really protect you #2.10 is romance.,"Jedyna rzecz, która naprawdę cię ochroni, #2.10 to romans."
wanst_pickup_romanshield_2_1,Romanes eunt domus!,Romanes eunt domus!
wanst_pickup_romanshield_3_1,Idonium est!,Idonium est!
wanst_pickup_romanshield_4_1,Shieldus maximus!,Shieldus maximus!
wanst_encounter_woodenhammer_1_1,A wooden hammer... #1.30 Guess that's a start.,"Drewniany młot... #1.30 Cóż, od czegoś trzeba zacząć."
wanst_pickup_woodenhammer_1_1,O'zapft is!,O'zapft is!
wanst_pickup_woodenhammer_2_1,Time for some carpentry!,Czas na trochę stolarki!
wanst_drop_woodenhammer_1_1,I knew this wooden't do much damage... #2.50 Ciao.,"Wiedziałem, że to drewno nie wyrządzi zbyt wiele szkód... #2.50 Ciao."
wanst_encounter_lockengoldpotion_1_1,"Drinking usually doesn't improve your hair... #2.80 in this case, it actually does.",Picie zwykle nie poprawia włosów... #2.80 w tym przypadku naprawdę poprawia.
wanst_encounter_lockengoldpotion_2_1,The Lockengold Potion is famous #2.20 for its hairy effect.,Mikstura Lockengold słynie #2.20 ze swojego włochatego efektu.
wanst_encounter_lockengoldpotion_3_1,Dr. Heinrich's Lockengold!,Lockengold doktora Heinricha!
wanst_pickup_lockengoldpotion_1_1,Barbers hate this trick.,Fryzjerzy nienawidzą tej sztuczki.
wanst_pickup_lockengoldpotion_2_1,A lot of barbers are lobbying against this liquid... #3.00 I wonder why.,Wielu fryzjerów lobbuje przeciw temu płynowi... #3.00 Ciekawe czemu.
wanst_encounter_wanstbust_1_1,Is this supposed to look like me?,Czy to ma wyglądać jak ja?
wanst_encounter_wanstbust_2_1,I wish they made my skin less pale...,"Szkoda, że nie zrobili mojej skóry mniej bladej..."
wanst_pickup_wanstbust_1_1,I must adjust the bust.,Muszę poprawić to popiersie.
wanst_pickup_wanstbust_2_1,I am drawn to things that look like me.,"Ciągnie mnie do rzeczy, które wyglądają jak ja."
wanst_pickup_wanstbust_3_1,"Good job, sculptor.","Dobra robota, rzeźbiarzu."
wanst_attack_wanstbust_1_1,Busted!,Rozbity!
wanst_attack_wanstbust_2_1,I'll marble you!,Zamarmuruję cię!
wanst_attack_wanstbust_3_1,Walhalla awaits!,Walhalla czeka!
wanst_pickup_table_1_1,Let's refurnish!,Przemeblujmy!
wanst_pickup_table_2_1,The tables have turned!,Stoły się odwróciły!
wanst_pickup_table_3_1,For impromptu dinners.,Na improwizowane kolacje.
hubert_door_balcony_1_1,Oii! It's freezing out there. #1.70 Must be because of the balcony.,Oii! Tam na zewnątrz jest lodowato. #1.70 To musi być przez balkon.
hubert_door_balcony_2_1,There's an entrance to a balcony through there. #2.10 But I am afraid of heights.,Tam jest wejście na balkon. #2.10 Ale boję się wysokości.
hubert_door_balcony_3_1,Are you into rock climbing? #1.60 Because the balcony out there will #3.20 require some of that.,Lubisz wspinaczkę skałkową? #1.60 Bo balkon tam na zewnątrz #3.20 będzie jej wymagał.
excito_door_obstacle_bummed_1_1,If you want some fresh air: This way to the balcony.,Jeśli chcesz świeżego powietrza: tędy na balkon.
excito_door_obstacle_bummed_1_1,This room looks better from the balcony out there.,Ten pokój wygląda lepiej z tamtego balkonu.
excito_door_obstacle_bummed_1_1,This tower has an extensive balcony. Who would've thought?,Ta wieża ma rozległy balkon. Kto by pomyślał?
excito_door_obstacle_bummed_1_1,"Not a fan of balconies, to be honest.","Szczerze mówiąc, nie jestem fanem balkonów."
excito_door_obstacle_bummed_1_1,This way to the balcons.,Tędy do balkonów.
wanst_encounter_goopotion_1_1,Not sure if the goo in that bottle #1.80 should be set free...,"Nie jestem pewien, czy maź z tej butelki #1.80 powinna zostać uwolniona..."
wanst_encounter_goopotion_2_1,Goo in a bottle? #1.30 Let's see how that works out...,"Maź w butelce? #1.30 Zobaczmy, jak to się skończy..."
wanst_pickup_goopotion_1_1,Goop goop.,Glut glut.
wanst_pickup_goopotion_2_1,Let's goo for it.,Ruszajmy z glutem.
wanst_encounter_goldenweapon_1_1,Everything is better in gold.,Wszystko jest lepsze w złocie.
wanst_encounter_goldenweapon_2_1,Why make jewelery when you can #1.50 turn gold into weapons?,"Po co robić biżuterię, skoro można #1.50 zmienić złoto w broń?"
wanst_encounter_goldenweapon_3_1,Gold is my favourite color.,Złoto to mój ulubiony kolor.
wanst_pickup_goldenweapon_1_1,Golden weaponry certainly #1.50 looks nicer on me.,Złota broń zdecydowanie #1.50 wygląda na mnie lepiej.
wanst_pickup_goldenweapon_2_1,Behold the gold!,Oto złoto!
hubert_princesseat_generic_1_1,Oooh! #0.60 What a heartless sacrifice!,Oooch! #0.60 Co za bezduszna ofiara!
