key,en,pl
wanst_djinn_address_9_1,"Hey, are you the guy with the fishes?","Hej, jesteś tym gościem od ryb?"
wanst_djinn_address_9_2,I'm the guy with the wishes! #2.30 But if you continue to fool around... #4.70 I might slap you with a fish!,Jestem gościem od życzeń! #2.30 Ale jeśli dalej będziesz się wygłupiać... #4.70 mogę cię trzepnąć rybą!
wanst_djinn_address_10_1,What kind of fishy business are you in?,W jakim rybim interesie jesteś?
wanst_djinn_address_10_2,"I grant wishes, boy. For now...","Spełniam życzenia, chłopcze. #Na razie..."
wanst_djinn_address_11_1,YOOOOOOO!,JOOOOOOO!
wanst_djinn_address_11_2,At your service!,Do usług!
wanst_djinn_address_12_1,Holy herring! What a grimace!,Święty śledziu! #Co za grymas!
wanst_djinn_address_12_2,You'll get a fishy mess if you don't treat me with respect.,"Będzie z ciebie rybna papka, jeśli nie będziesz mnie szanować."
wanst_djinn_address_13_1,A genie!,Dżinn!
wanst_djinn_address_13_2,Indeed!,A i owszem!
wanst_djinn_address_14_1,WOAAH!,OJEJKU!
wanst_djinn_address_14_2,"Impressive, right?","Imponujące, co nie?"
wanst_idlepoison_generic_4_1,The poison in my veins #1.50 is making its way to #2.70 my vital parts.,Trucizna w moich żyłach #1.50 zbliża się do #2.70 moich najważniejszych organów.
wanst_idlepoison_generic_5_1,"There must be a cure to this poison. #2.00 Let's try... #3.00 anything edible, for a start?",Musi być jakieś lekarstwo na tę truciznę. #2.00 Spróbujmy... #3.00 czegokolwiek jadalnego na początek?
wanst_idlepoison_generic_6_1,"Can't complain about how my life has gone so far. #3.00 Up until I got poisoned, that is.","Nie mogę narzekać na to, jak potoczyło się dotąd moje życie. #3.00 Aż do momentu, w którym zostałem otruty."
wanst_idlepoison_generic_7_1,"This poison is eating me from the inside! #3.00 That means, the only countermeasure is... #4.70 eating from the outside.","Ta trucizna zżera mnie od środka! #3.00 To znaczy, że jedynym środkiem zaradczym jest... #4.70 jedzenie z zewnątrz."
wanst_idlepoison_generic_8_1,"What was it that old guy said to me, #2.00 ""When the poison is spreadable, #4.00 seek anything... #5.50 edible""?","Co mówił mi ten staruszek, #2.00 „Kiedy trucizna się rozprzestrzenia, #4.00 szukaj czegokolwiek... #5.50 jadalnego”?"
wanst_idlepoison_generic_9_1,"Damn, this poison makes me hungry. #2.30 I could eat literally anything right now...","Cholera, ta trucizna wywołuje we mnie głód. #2.30 Zjadłbym teraz dosłownie wszystko..."
wanst_idlepoison_generic_10_1,"Despite it's positively green color, #2.20 this skin tone is #3.50 not a good sign.","Mimo swojego pozytywnie zielonego koloru, #2.20 ten odcień skóry #3.50 nie jest dobrym znakiem."
wanst_idlepoison_generic_11_1,Being poisoned always makes me hungry.,Bycie zatrutym zawsze wywołuje we mnie głód.
wanst_banker_upgrade_house_endless_1_1,"Sure! #0.70 But it won't get any nicer from here. #3.00 All we can do is throw another empty box on top. #6.00 If that's your thing, #7.50 you're welcome to it.","Jasne! #0.70 Ale od tego momentu nie będzie już ładniej. #3.00 Możemy tylko dorzucić kolejne puste pudełko na wierzch. #6.00 Jeśli to w twoim stylu, #7.50 to zapraszam."
wanst_banker_upgrade_house_endless_2_1,"Umm, sure. #1.50 But it's just empty lofts from now on. #4.00 They're very expensive.","Yy, jasne. #1.50 Ale od teraz to już tylko puste strychy. #4.00 Są bardzo drogie."
wanst_banker_upgrade_house_endless_3_1,We can do that. #1.50 But the your abode won't get any more #3.50 interesting from here.,Możemy to zrobić. #1.50 Ale twoje mieszkanie nie zrobi się od tego #3.50 bardziej interesujące.
wanst_banker_upgrade_house_endless_4_1,If you want to spend a fortune on building #2.00 the same floor over and over again... #4.50 Sure!,Jeśli chcesz wydać fortunę na budowanie #2.00 tego samego piętra w kółko... #4.50 Jasne!
wanst_banker_upgrade_house_endless_5_1,"Sure thing! #1.00 We're out of ideas though, #2.50 so don't expect any variation or surprises #5.30 at this height...","Jasna sprawa! #1.00 Skończyły nam się jednak pomysły, #2.50 więc nie spodziewaj się żadnych odmian ani niespodzianek #5.30 na tej wysokości..."
wanst_banker_upgrade_house_endless_6_1,"All we can do from now on #1.50 is slap the same room on top #3.50 over and over again. #5.50 If that's your thing, #6.50 you've got yourself a deal!","Wszystko, co możemy teraz zrobić, #1.50 to dokładać ten sam pokój na wierzch #3.50 w kółko. #5.50 Jeśli to w twoim stylu, #6.50 to mamy umowę!"
wanst_banker_cellar_1_1_a,"Listen, uhhh, #1.00 I don't like light. #2.30 Do you do cellars?","Słuchaj, yyy, #1.00 nie lubię światła. #2.30 Robicie piwnice?"
wanst_banker_cellar_1_1_b,I wonder what's below my house. #2.00 Can you dig down there for me?,"Zastanawiam się, co jest pod moim domem. #2.00 Możecie tam dla mnie wykopać?"
wanst_banker_cellar_1_1_c,I need a calm space underground #2.00 to cozy down. #3.00 Got something for me?,"Potrzebuję spokojnej przestrzeni pod ziemią, #2.00 żeby się przytulnie zaszyć. #3.00 Macie coś dla mnie?"
wanst_banker_cellar_1_1_d,Hey pal. #1.00 Do you dig?,"Hej, kolego. #1.00 Kopiecie?"
